"","c.alb.jan","c.alb.feb","c.alb.mar","c.alb.apr","c.alb.may","c.alb.jun","c.alb.jul","c.alb.aug","c.alb.sep","c.alb.oct","c.alb.nov","c.alb.dec"
"10946",0.12536,0.166405,0.0863175,0.0230166666666667,0.0164925,0.000969999999999992,0.0054775,0.0092675,0.00628499999999999,0.01618,0.0572125,0.088795
"10980",0.022125,0.0192225,-0.0013075,0.005128,0.022828,0.04243375,0.0372225,0.0318665,0.03441825,0.0174066666666667,-0.0013965,-0.00248749999999999
"10981",0.02091,0.019745,-0.000872500000000005,0.00509133333333333,0.022831,0.04235125,0.03708,0.031774,0.03441325,0.0174006666666667,-0.0014115,-0.00544
"10983",0.1979925,0.20575,0.1187875,0.0493613333333333,0.06849325,0.06768375,0.0672975,0.067539,0.06008075,0.0625293333333333,0.0652285,0.093675
"11025",-2.49999999998862e-06,0,0,0,0,0,0,0,0,0,0,0
"11040",0,-2.49999999998862e-06,2.5000000000025e-06,0,0,0,0,0,0,0,0,-2.5000000000025e-06
"11041",2.49999999998862e-06,-2.50000000001638e-06,-2.5000000000025e-06,0,0,0,0,0,0,0,0,0
"11042",0.1871875,0.172215,0.062815,0.0139366666666667,0.0079125,0.0065875,0.0189725,0.0244425,0.024955,0.02548,0.074615,0.1769375
"11056",0.131845,0.15172,0.067555,0.0210933333333333,0.0152225,0.000464999999999993,0.0043975,0.00909000000000001,0.0070525,0.018,0.05796,0.1182025
"11074",0.1368225,0.1633925,0.0778425,0.02225,0.01597,0.000742499999999993,0.00494499999999999,0.00916,0.0066925,0.01656,0.05784,0.1114425
"11076",0.2888875,0.346415,0.146725,0.03913,0.0268675,0.006735,0.019935,0.03009,0.0324575,0.0448566666666667,0.1244775,0.2571675
"11078",0.278855,0.3486525,0.14566,0.03919,0.02697,0.0067325,0.0198275,0.0299475,0.03239,0.0446766666666667,0.1222625,0.228075
"11079",0.28045,0.3482725,0.1460025,0.0392166666666667,0.0270075,0.00674250000000001,0.019775,0.0298775,0.032355,0.0446133333333333,0.124045,0.2389975
"11081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11083",0.2572725,0.3497275,0.143085,0.0393533333333333,0.02718,0.00674999999999999,0.0196225,0.029615,0.0322125,0.0444266666666667,0.12866,0.210195
"11085",0.1331725,0.16568,0.0818525,0.0228733333333333,0.0164475,0.000987500000000002,0.0054775,0.0093875,0.00641999999999999,0.0161166666666667,0.056355,0.0826525
"11086",0.261515,0.350645,0.1542675,0.0394833333333333,0.027285,0.006755,0.01952,0.0294075,0.0320875,0.04435,0.120805,0.19762
"11089",0.2651875,0.3522675,0.15627,0.0395633333333333,0.02736,0.0067475,0.01944,0.02922,0.0319375,0.0443066666666667,0.130105,0.21687
"11104",0,0,0,0,0,0,0,0,0,0,0,0
"11105",0.03372,0.0167275,0.0259425,0.0205233333333333,0.02923175,0.024075,0.0228,0.024655,0.02077,0.0288843333333333,0.0085675,0.0165875
